,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
119,THE BARN,3-5 RING ST,AMESBURY,"$399,615.75","$234,357.00","$399,615.75","$426,282.50","$462,898.00"
120,VERMETTE'S INC,6 POND ST,AMESBURY,"$1,028,519.50","$1,215,914.25","$1,028,519.50","$996,504.75","$947,933.00"
121,BIG GUY LIQUORS,25 MONTAGUE ST,AMHERST,"$46,204.50","$36,802.00","$46,204.50","$52,739.25","$43,725.75"
122,BIG Y #46,175 UNIVERSITY DRIVE,AMHERST,"$695,677.00","$544,494.00","$695,677.00","$674,774.75","$613,387.25"
123,COUSINS FOOD MARKET,11 EAST PLEASANT STREET,AMHERST,"$246,438.00","$74,711.50","$246,438.00","$277,433.50","$332,972.50"
124,CUMBERLAND #6617,19 MONTAGUE ST,AMHERST,"$819,786.00","$720,327.75","$819,786.00","$796,017.50","$793,531.50"
125,CUMBERLAND #6704,35 BELCHERTOWN RD,AMHERST,"$736,424.25","$655,334.50","$736,424.25","$640,540.75","$606,824.00"
126,NEIGHBOR FOOD DAIRY MART,324  COLLEGE ST,AMHERST,"$759,410.75","$742,225.00","$759,410.75","$741,858.75","$814,218.25"
127,R & P PACKAGE STORE,505 WEST ST,AMHERST,"$227,452.00","$345,200.50","$227,452.00","$232,342.00","$213,669.75"
128,SPEEDWAY #2419,468 WEST ST,AMHERST,"$683,391.00","$580,920.25","$683,391.00","$718,498.75","$644,393.00"
129,UNIVERSITY LIQUORS,6 UNIVERSITY DRIVE SUITE 10,AMHERST,"$186,025.75","$26,016.25","$186,025.75","$186,293.25","$154,128.50"
130,ANDOVER LIQUORS,209 N.MAIN ST,ANDOVER,"$190,369.75","$165,531.00","$190,369.75","$179,866.50","$202,227.75"
131,ANDOVER MOBIL,309 LOWELL ST,ANDOVER,"$1,086,214.00","$759,813.00","$1,086,214.00","$1,114,866.75","$1,055,929.75"
132,ANDOVER SPA,9 ELM STREET,ANDOVER,"$959,446.75","$754,448.75","$959,446.75","$1,051,878.25","$749,977.50"
133,MARCS SNACK BAR,310 LOWELL ST IRS BLDG,ANDOVER,"$1,006,700.75","$100,862.00","$1,006,700.75","$1,100,272.25","$955,526.75"
134,REDSTONE  LIQUORS,89 MAIN STREET,ANDOVER,"$64,830.25","$82,568.25","$64,830.25","$43,427.50","$31,759.00"
135,RICHDALE,10 RAILROAD ST,ANDOVER,"$2,173,255.50","$2,270,020.25","$2,173,255.50","$2,482,892.00","$2,362,119.75"
136,SHAWSHEEN VILLAGE LIQUORS,2 POOR ST,ANDOVER,"$68,757.00","$58,204.50","$68,757.00","$52,377.25","$43,466.25"
137,STOP & SHOP #471,199 NORTH MAIN ST,ANDOVER,"$492,229.75","$347,572.00","$492,229.75","$539,098.75","$603,575.25"
138,SUNDAY GENERAL STORE,195 ANDOVER ST,ANDOVER,"$802,024.00","$673,945.75","$802,024.00","$798,382.50","$885,716.50"
139,THE CHATEAU RESTAURANT,131 RIVER RD & RT 93,ANDOVER,"$2,838,653.50","$2,186,697.25","$2,838,653.50","$3,119,304.75","$3,111,250.25"
140,WEST ANDOVER MOBIL,139 RIVER RD,ANDOVER,"$1,344,428.25","$983,367.50","$1,344,428.25","$879,411.75","$1,281,685.00"
141,7 STAR GROCERY,6 MEDFORD ST,ARLINGTON,"$762,517.50","$592,414.75","$762,517.50","$717,414.75","$735,475.50"
142,ARLINGTON SHELL,934-950 MASS AVE,ARLINGTON,"$45,104.50","$44,235.50","$45,104.50","$45,613.50","$47,910.50"
143,BOYLES FAMILY MARKET,64 BROADWAY,ARLINGTON,"$1,063,167.25","$891,685.00","$1,063,167.25","$1,229,428.75","$1,267,346.00"
144,BROADWAY MARKET,94-96 BROADWAY ST,ARLINGTON,"$1,157,357.75","$1,221,674.75","$1,157,357.75","$1,175,818.25","$1,106,749.00"
145,COLUMBUS CLUB,15 WINSLOW ST,ARLINGTON,"$562,583.75","$1,290,210.50","$562,583.75","$422,320.00","$342,026.25"
146,DAGGS DELI,148 MASS AVE,ARLINGTON,"$640,737.00","$706,037.50","$640,737.00","$857,286.50","$957,371.50"
147,EASY CONVENIENCE,935 MASS AVE,ARLINGTON,"$2,288,305.75","$2,132,042.00","$2,288,305.75","$2,172,310.50","$2,092,761.75"
148,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$84,663.50","$1,143,433.25","$84,663.50","$69,169.00","$1,110,139.50"
149,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$84,663.50","$1,143,433.25","$84,663.50","$917,400.25","$1,110,139.50"
150,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$84,663.50","$1,143,433.25","$985,536.50","$69,169.00","$1,110,139.50"
151,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$84,663.50","$1,143,433.25","$985,536.50","$917,400.25","$1,110,139.50"
152,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$985,536.50","$1,143,433.25","$84,663.50","$69,169.00","$1,110,139.50"
153,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$985,536.50","$1,143,433.25","$84,663.50","$917,400.25","$1,110,139.50"
154,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$985,536.50","$1,143,433.25","$985,536.50","$69,169.00","$1,110,139.50"
155,FENWAY MARKET,203 BROADWAY,ARLINGTON,"$985,536.50","$1,143,433.25","$985,536.50","$917,400.25","$1,110,139.50"
156,GALAXY MARKET,1348 MASS AVE,ARLINGTON,"$1,599,947.75","$1,205,489.75","$1,599,947.75","$1,417,183.00","$1,228,772.00"
157,LITTLE JOES CONV. STORE,206 SUMMER ST,ARLINGTON,"$1,736,406.25","$23,010.00","$1,736,406.25","$1,361,384.50","$1,310,773.25"
158,MASS CONVENIENCE,86 WARREN ST,ARLINGTON,"$1,518,674.50","$300,405.25","$1,518,674.50","$1,960,894.00","$1,721,446.75"
159,MYSTIC STREET GULF,140 MYSTIC ST,ARLINGTON,"$37,732.50","$81,904.00","$37,732.50","$39,244.00","$37,709.00"
